videoID,dataset,qa_fold,det_status,arm
0000 - Heico - Prokto - 1.avi,heico,4,no_annot,DUAL
0001 - Heico - Prokto - 2.avi,heico,0,no_annot,DUAL
0002 - Heico - Prokto - 3.avi,heico,1,det_train,CONTROL
0003 - Heico - Prokto - 4.avi,heico,0,det_val,DUAL
0004 - Heico - Prokto - 5.avi,heico,4,det_train,CONTROL
0005 - Heico - Prokto - 6.avi,heico,4,det_train,CONTROL
0006 - Heico - Prokto - 7.avi,heico,2,det_train,CONTROL
0007 - Heico - Prokto - 8.avi,heico,3,det_train,CONTROL
0008 - Heico - Prokto - 9.avi,heico,2,det_train,CONTROL
0009 - Heico - Prokto - 10.avi,heico,1,no_annot,DUAL
0010 - Heico - Rektum - 1.avi,heico,4,det_train,CONTROL
0011 - Heico - Rektum - 2.avi,heico,1,no_annot,DUAL
0012 - Heico - Rektum - 3.avi,heico,0,det_val,DUAL
0013 - Heico - Rektum - 4.avi,heico,4,no_annot,DUAL
0014 - Heico - Rektum - 5.avi,heico,2,no_annot,DUAL
0015 - Heico - Rektum - 6.avi,heico,0,no_annot,DUAL
0016 - Heico - Rektum - 7.avi,heico,3,det_train,CONTROL
0017 - Heico - Rektum - 8.avi,heico,3,no_annot,DUAL
0018 - Heico - Rektum - 9.avi,heico,3,no_annot,DUAL
0019 - Heico - Rektum - 10.avi,heico,4,no_annot,DUAL
0020 - Heico - Sigma - 1.avi,heico,1,no_annot,DUAL
0021 - Heico - Sigma - 2.avi,heico,2,no_annot,DUAL
0022 - Heico - Sigma - 3.avi,heico,2,no_annot,DUAL
0023 - Heico - Sigma - 4.avi,heico,1,det_train,CONTROL
0024 - Heico - Sigma - 5.avi,heico,0,det_val,DUAL
0025 - Heico - Sigma - 6.avi,heico,3,no_annot,DUAL
0026 - Heico - Sigma - 7.avi,heico,2,no_annot,DUAL
0027 - Heico - Sigma - 8.avi,heico,3,det_train,CONTROL
0028 - Heico - Sigma - 9.avi,heico,1,no_annot,DUAL
0029 - Heico - Sigma - 10.avi,heico,0,no_annot,DUAL
0000 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0001 - Laparoscopic Cholecystectomy.mp4,lapchole,4,det_train,CONTROL
0002 - Laparoscopic Cholecystectomy.mp4,lapchole,4,det_train,CONTROL
0004 - Laparoscopic Cholecystectomy.mp4,lapchole,1,det_train,CONTROL
0005 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0006 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0007 - Laparoscopic Cholecystectomy.mp4,lapchole,0,det_val,DUAL
0008 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0009 - Laparoscopic Cholecystectomy.mp4,lapchole,4,det_train,CONTROL
0010 - Laparoscopic Cholecystectomy.mp4,lapchole,2,det_train,CONTROL
0011 - Laparoscopic Cholecystectomy.mp4,lapchole,4,no_annot,DUAL
0013 - Laparoscopic Cholecystectomy.mp4,lapchole,2,no_annot,DUAL
0014 - Laparoscopic Cholecystectomy.mp4,lapchole,4,no_annot,DUAL
0016 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0017 - Laparoscopic Cholecystectomy.mp4,lapchole,2,no_annot,DUAL
0018 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0019 - Laparoscopic Cholecystectomy.mp4,lapchole,4,det_train,CONTROL
0020 - Laparoscopic Cholecystectomy.mp4,lapchole,4,det_train,CONTROL
0023 - Laparoscopic Cholecystectomy.mp4,lapchole,2,no_annot,DUAL
0024 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0026 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0027 - Laparoscopic Cholecystectomy.mp4,lapchole,0,det_val,DUAL
0028 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0029 - Laparoscopic Cholecystectomy.mp4,lapchole,4,det_train,CONTROL
0030 - Laparoscopic Cholecystectomy.mp4,lapchole,2,det_train,CONTROL
0032 - Laparoscopic Cholecystectomy.mp4,lapchole,4,no_annot,DUAL
0033 - Laparoscopic Cholecystectomy.mp4,lapchole,2,no_annot,DUAL
0034 - Laparoscopic Cholecystectomy.mp4,lapchole,4,no_annot,DUAL
0036 - Laparoscopic Cholecystectomy.mp4,lapchole,0,det_val,DUAL
0037 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0039 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0040 - Laparoscopic Cholecystectomy.mp4,lapchole,2,no_annot,DUAL
0041 - Laparoscopic Cholecystectomy.mp4,lapchole,4,no_annot,DUAL
0042 - Laparoscopic Cholecystectomy.mp4,lapchole,2,no_annot,DUAL
0043 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0044 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0045 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0048 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0049 - Laparoscopic Cholecystectomy.mp4,lapchole,4,no_annot,DUAL
0050 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0052 - Laparoscopic Cholecystectomy.mp4,lapchole,3,det_train,CONTROL
0053 - Laparoscopic Cholecystectomy.mp4,lapchole,4,det_train,CONTROL
0054 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0055 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0056 - Laparoscopic Cholecystectomy.mp4,lapchole,1,det_train,CONTROL
0057 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0058 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0059 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0060 - Laparoscopic Cholecystectomy.mp4,lapchole,4,no_annot,DUAL
0061 - Laparoscopic Cholecystectomy.mp4,lapchole,0,det_val,DUAL
0062 - Laparoscopic Cholecystectomy.mp4,lapchole,2,det_train,CONTROL
0063 - Laparoscopic Cholecystectomy.mp4,lapchole,2,no_annot,DUAL
0065 - Laparoscopic Cholecystectomy.mp4,lapchole,4,no_annot,DUAL
0066 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0068 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0070 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0071 - Laparoscopic Cholecystectomy.mp4,lapchole,1,det_train,CONTROL
0072 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0073 - Laparoscopic Cholecystectomy.mp4,lapchole,2,det_train,CONTROL
0074 - Laparoscopic Cholecystectomy.mp4,lapchole,1,det_train,CONTROL
0076 - Laparoscopic Cholecystectomy.mp4,lapchole,4,no_annot,DUAL
0078 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0079 - Laparoscopic Cholecystectomy.mp4,lapchole,0,det_val,DUAL
0081 - Laparoscopic Cholecystectomy.mp4,lapchole,2,det_train,CONTROL
0082 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0083 - Laparoscopic Cholecystectomy.mp4,lapchole,3,det_train,CONTROL
0086 - Laparoscopic Cholecystectomy.mp4,lapchole,2,det_train,CONTROL
0089 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0092 - Laparoscopic Cholecystectomy.mp4,lapchole,2,det_train,CONTROL
0093 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0094 - Laparoscopic Cholecystectomy.mp4,lapchole,3,det_train,CONTROL
0096 - Laparoscopic Cholecystectomy.mp4,lapchole,2,no_annot,DUAL
0097 - Laparoscopic Cholecystectomy.mp4,lapchole,2,no_annot,DUAL
0099 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0100 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0101 - Laparoscopic Cholecystectomy.mp4,lapchole,4,det_train,CONTROL
0102 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0105 - Laparoscopic Cholecystectomy.mp4,lapchole,2,no_annot,DUAL
0106 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0107 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
0108 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0114 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0115 - Laparoscopic Cholecystectomy.mp4,lapchole,2,det_train,CONTROL
0128 - Laparoscopic Cholecystectomy.mp4,lapchole,3,det_train,CONTROL
0129 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0133 - Laparoscopic Cholecystectomy.mp4,lapchole,2,no_annot,DUAL
0137 - Laparoscopic Cholecystectomy.mp4,lapchole,4,no_annot,DUAL
0138 - Laparoscopic Cholecystectomy.mp4,lapchole,4,no_annot,DUAL
0144 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0146 - Laparoscopic Cholecystectomy.mp4,lapchole,2,no_annot,DUAL
0147 - Laparoscopic Cholecystectomy.mp4,lapchole,1,det_train,CONTROL
0149 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0158 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0160 - Laparoscopic Cholecystectomy.mp4,lapchole,0,no_annot,DUAL
0167 - Laparoscopic Cholecystectomy.mp4,lapchole,1,no_annot,DUAL
0169 - Laparoscopic Cholecystectomy.mp4,lapchole,1,det_train,CONTROL
0180 - Laparoscopic Cholecystectomy.mp4,lapchole,3,no_annot,DUAL
