video,fold,dataset,qa_fold,n_pos,n_neg,n_inst
0001 - Laparoscopic Cholecystectomy.mp4,1,lapchole,4,257,113,462
0002 - Heico - Prokto - 3.mp4,1,heico,1,80,208,99
0002 - Laparoscopic Cholecystectomy.mp4,1,lapchole,4,379,28,586
0003 - Heico - Prokto - 4.mp4,0,heico,0,20,242,35
0004 - Heico - Prokto - 5.mp4,1,heico,4,60,238,75
0004 - Laparoscopic Cholecystectomy.mp4,1,lapchole,1,19,27,49
0005 - Heico - Prokto - 6.mp4,1,heico,4,24,177,32
0006 - Heico - Prokto - 7.mp4,1,heico,2,43,203,63
0007 - Heico - Prokto - 8.mp4,1,heico,3,31,223,45
0007 - Laparoscopic Cholecystectomy.mp4,0,lapchole,0,27,25,94
0008 - Heico - Prokto - 9.mp4,1,heico,2,64,240,81
0009 - Laparoscopic Cholecystectomy.mp4,1,lapchole,4,674,47,2472
0010 - Heico - Rektum - 1.mp4,1,heico,4,94,359,116
0010 - Laparoscopic Cholecystectomy.mp4,1,lapchole,2,33,54,82
0012 - Heico - Rektum - 3.mp4,0,heico,0,98,234,133
0016 - Heico - Rektum - 7.mp4,1,heico,3,94,312,135
0019 - Laparoscopic Cholecystectomy.mp4,1,lapchole,4,93,56,104
0020 - Laparoscopic Cholecystectomy.mp4,1,lapchole,4,281,15,764
0021 - Laparoscopic Cholecystectomy.mp4,1,lapchole,,5,112,5
0022 - Laparoscopic Cholecystectomy.mp4,1,lapchole,,25,24,48
0023 - Heico - Sigma - 4.mp4,1,heico,1,86,148,175
0024 - Heico - Sigma - 5.mp4,0,heico,0,58,92,72
0027 - Heico - Sigma - 8.mp4,1,heico,3,60,162,65
0027 - Laparoscopic Cholecystectomy.mp4,0,lapchole,0,624,11,856
0029 - Laparoscopic Cholecystectomy.mp4,1,lapchole,4,46,67,90
0030 - Laparoscopic Cholecystectomy.mp4,1,lapchole,2,7,61,7
0035 - Laparoscopic Cholecystectomy.mp4,1,lapchole,,66,38,111
0036 - Laparoscopic Cholecystectomy.mp4,0,lapchole,0,225,32,291
0038 - Laparoscopic Cholecystectomy.mp4,1,lapchole,,56,45,142
