uid,qID,videoID,dataset,fold,track,primary,answer_format,start_time,end_time,duration,ood,clinical,order
heico:8455,8455,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17231.000,17231.000,0.000,0,0,6608
heico:16458,16458,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,7081.000,7081.000,0.000,0,0,14366
heico:16908,16908,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17729.000,17729.000,0.000,0,0,15922
heico:16803,16803,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17068.000,17068.000,0.000,0,0,13932
heico:16436,16436,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,587.000,587.000,0.000,0,0,14811
heico:18780,18780,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,7100.000,7100.000,0.000,0,0,6770
heico:19201,19201,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17116.000,17116.000,0.000,0,0,4987
heico:18829,18829,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17740.000,17740.000,0.000,0,0,3263
heico:18800,18800,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17204.000,17204.000,0.000,0,0,10144
heico:18738,18738,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,585.000,585.000,0.000,0,0,796
heico:47532,47532,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,7212.000,7212.000,0.000,0,0,289
heico:47523,47523,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17170.000,17170.000,0.000,0,0,14099
heico:47515,47515,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,580.000,580.000,0.000,0,0,2376
heico:2681858,2681858,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_ATTRIBUTES,open_ended,17195.000,17195.000,0.000,0,0,19525
heico:2681856,2681856,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_ATTRIBUTES,open_ended,17116.000,17116.000,0.000,0,0,12477
heico:2681853,2681853,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_ATTRIBUTES,open_ended,17113.000,17113.000,0.000,0,0,2594
heico:42227,42227,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,SPATIAL_LOCALIZATION_CAMERA,open_ended,579.000,579.000,0.000,0,0,10148
heico:59524,59524,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,SPATIAL_LOCALIZATION_CAMERA,fo_class,17128.000,17128.000,0.000,0,0,1272
heico:64766,64766,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,SPATIAL_LOCALIZATION_CAMERA,multiple_choice,17256.000,17256.000,0.000,0,0,19849
heico:64761,64761,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,SPATIAL_LOCALIZATION_CAMERA,multiple_choice,17171.000,17171.000,0.000,0,0,14992
heico:24350,24350,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,608.000,608.000,0.000,0,0,1470
heico:24379,24379,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,7101.000,7101.000,0.000,0,0,5290
heico:24780,24780,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,10003.000,10003.000,0.000,0,0,17140
heico:24614,24614,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,17228.000,17228.000,0.000,0,0,547
heico:24842,24842,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,598.000,598.000,0.000,0,0,2919
heico:24942,24942,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,17211.000,17211.000,0.000,0,0,13239
heico:26354,26354,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,612.000,612.000,0.000,0,0,5672
heico:26422,26422,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,7104.000,7104.000,0.000,0,0,9027
heico:26790,26790,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,9969.000,9969.000,0.000,0,0,2542
heico:31897,31897,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,binary,609.000,609.000,0.000,0,0,2237
heico:31578,31578,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,binary,17240.000,17240.000,0.000,0,0,7737
heico:43595,43595,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,binary,17229.000,17229.000,0.000,0,0,341
heico:43281,43281,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,binary,7085.000,7085.000,0.000,0,0,10024
heico:8416,8416,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17118.000,17118.000,0.000,0,0,10102
heico:16531,16531,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,7233.000,7233.000,0.000,0,0,10308
heico:16926,16926,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17748.000,17748.000,0.000,0,0,17120
heico:16840,16840,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17105.000,17105.000,0.000,0,0,8681
heico:16457,16457,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,2358.000,2358.000,0.000,0,0,19100
heico:19022,19022,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,8000.000,8000.000,0.000,0,0,7226
heico:19195,19195,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17114.000,17114.000,0.000,0,0,2615
heico:18827,18827,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17759.000,17759.000,0.000,0,0,11764
heico:18833,18833,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17070.000,17070.000,0.000,0,0,16676
heico:18758,18758,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,2350.000,2350.000,0.000,0,0,6398
heico:47545,47545,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,9978.000,9978.000,0.000,0,0,2660
heico:47549,47549,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,17066.000,17066.000,0.000,0,0,16139
heico:47518,47518,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_IDENTIFICATION,fo_class,2358.000,2358.000,0.000,0,0,5427
heico:2681854,2681854,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_ATTRIBUTES,open_ended,17114.000,17114.000,0.000,0,0,8248
heico:2681852,2681852,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_ATTRIBUTES,open_ended,17112.000,17112.000,0.000,0,0,16915
heico:2681855,2681855,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_ATTRIBUTES,open_ended,17115.000,17115.000,0.000,0,0,6661
heico:42232,42232,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,SPATIAL_LOCALIZATION_CAMERA,open_ended,2356.000,2356.000,0.000,0,0,2529
heico:59528,59528,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,SPATIAL_LOCALIZATION_CAMERA,fo_class,17133.000,17133.000,0.000,0,0,11076
heico:64753,64753,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,SPATIAL_LOCALIZATION_CAMERA,multiple_choice,17049.000,17049.000,0.000,0,0,18359
heico:64756,64756,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,SPATIAL_LOCALIZATION_CAMERA,multiple_choice,17128.000,17128.000,0.000,0,0,6616
heico:24356,24356,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,2350.000,2350.000,0.000,0,0,4408
heico:24386,24386,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,7108.000,7108.000,0.000,0,0,12456
heico:24656,24656,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,10806.000,10806.000,0.000,0,0,19552
heico:24508,24508,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,17252.000,17252.000,0.000,0,0,4868
heico:24855,24855,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,2349.000,2349.000,0.000,0,0,13370
heico:25310,25310,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,17141.000,17141.000,0.000,0,0,16702
heico:26359,26359,0009 - Heico - Prokto - 10.avi,heico,1,FRAME,OBJECT_AGGREGATION,number,2358.000,2358.000,0.000,0,0,4156
